t208	2
t209	208
t210	*
t211	*
t212	*
t213	313
t214	*
t215	*
t216	*
t217	*
t218	*
t219	*
t220	*
t221	233
t222	303
t223	*
t224	*
t225	205
t226	*
t227	*
t228	*
t229	*
t230	*
t231	*
t232	*
t233	*
t234	*
t235	231
t236	236
t237	288
t238	*
t239	*
t240	*
t241	*
t242	*
t243	*
t244	253
t245	207
t246	*
t247	*
t248	234
t249	222
t250	*
t251	*
t252	*
t253	213
t254	*
t255	*
t256	280
t257	*
t258	*
t259	*
t260	*
t261	*
t262	*
t263	213
t264	237
t265	*
t266	229
t267	202
t268	*
t269	*
t270	98
t271	*
t272	168
t273	*
t274	*
t275	174
t276	213
t277	*
t278	256
t279	*
t280	*
t281	*
t282	*
t283	250
t284	238
t285	*
t286	269
t287	*
t288	469
t289	*
t290	218
t291	*
t292	*
t293	*
t294	*
t295	228
t296	*
t297	*
t298	*
t299	*
t300	*
t301	*
t302	*
t303	248
t304	*
t305	83
t306	*
t307	218
t308	201
t309	250
t310	*
t311	*
t312	*
t313	254
t314	*
t315	234
t316	271
t317	*
t318	143
t319	*
t320	*
t321	*
t322	*
t323	*
t324	236
t325	*
t326	*
t327	193
t328	217
t329	*
t330	*
t331	232
t332	*
t333	212
t334	*
t335	189
t336	*
t337	*
t338	*
t339	*
t340	*
t341	176
t342	*
t343	242
t344	209
t345	173
t346	221
t347	201
t348	*
t349	*
t350	244
t351	*
t352	*
t353	*
t354	*
t355	184
t356	*
t357	*
t358	*
t359	*
t360	180
t361	186
t362	145
t363	160
t364	828
t365	*
t366	*
t367	437
t368	*
t369	177
t370	*
t371	221
t372	*
t373	*
t374	155
t375	*
t376	*
t377	181
t378	214
t379	*
t380	*
t381	*
t382	249
t383	*
t384	*
t385	9
t386	200
t387	*
t388	*
t389	*
t390	233
t391	*
t392	230
t393	*
t394	247
t395	*
t396	*
t397	*
t398	*
t399	*
t400	210
t401	*
